1;6931,31;41775;60,27;2009
1;2130,08;11841;55,59;2010
1;4799,41;31011;64,61;2011
1;7437,41;41687,3;5,61;2012
1;7886,65;36889,1;46,77;2013
1;6836,27;49666,7;72,65;2014
1;4791,96;36740,1;76,67;2015
1;3083,12;19613,8;63,62;2016
1;3251,05;32237,8;99,16;2017
1;6840,5;61171,4;89,43;2018
1;8244,22;58130;70,51;2019
1;6383,8;29832,7;46,73;2020
1;7367;33456;45,42;2021
1;8815;27066;31;2022
2;114,46;2062;180,16;2009
2;114,52;2042,6;178,36;2010
2;102,06;1923;188,43;2011
2;113,71;2610,1;22,95;2012
2;132,91;3214,6;241,87;2013
2;129,75;3814,2;293,97;2014
2;139,42;3470,5;248,92;2015
2;125,78;3402,3;270,49;2016
2;106,92;2110,3;197,37;2017
2;110;2443;222,04;2018
2;152,26;3004,5;197,37;2019
2;142,64;2827;198,18;2020
2;182;2849;156,3;2021
2;177;2520;143;2022
3;159,43;9093;570,36;2009
3;128,9;7892;612,24;2010
3;106,95;7262;679,03;2011
3;114,11;12981,9;113,77;2012
3;142,46;12663,2;888,91;2013
3;136,46;13606,1;997,06;2014
3;149,6;12542,8;838,41;2015
3;174,75;14754,8;844,34;2016
3;117,29;6038;514,8;2017
3;159,62;6815,1;426,96;2018
3;182,28;8376,2;459,52;2019
3;173,07;13995,2;80,86;2020
3;214;14653;685,84;2021
3;192;16084;838;2022
4;1018,61;52734;517,71;2009
4;1075,05;50829;472,81;2010
4;975,99;38976;399,35;2011
4;1037,47;12981,9;58,94;2012
4;987,23;56849,7;575,85;2013
4;1085,15;56061,6;516,62;2014
4;1140,07;51218;449,25;2015
4;1145,12;53821,5;470,01;2016
4;958,63;40920,7;426,87;2017
4;1108,92;45065,6;406,39;2018
4;1119,51;47554,3;424,77;2019
4;1146,96;66729,6;58,17;2020
4;1351;68257;505,18;2021
4;1327;78045;588;2022
5;3,02;541;1793,62;2009
5;3,98;547;1375,46;2010
5;2,52;353;1399,13;2011
5;3,71;599,5;161,59;2012
5;3,32;635,1;1912,65;2013
5;3,36;599,7;1784,86;2014
5;3,5;454,2;1296,9;2015
5;2,37;349,3;1472,6;2016
5;2,96;532,6;1799,32;2017
5;3,01;418,7;1391,03;2018
5;3,16;496,2;1570,2;2019
5;2,81;518,8;1842,64;2020
5;3;566;1716,37;2021
5;3;665,3;1716;2022
6;853,98;9217;107,93;2009
6;429,96;5383;125,2;2010
6;577,32;4242;73,48;2011
6;24176;8528,8;0,35;2012
6;970,07;7362,8;75,9;2013
6;1228,94;7894,3;64,24;2014
6;1278,05;8354,9;65,37;2015
6;1249,34;8327,5;66,66;2016
6;776;6766,7;87,2;2017
6;1025,98;6596,2;64,29;2018
6;1135,04;6264,7;55,19;2019
6;1076,44;6770,6;62,9;2020
6;1323;9258;70;2021
6;1854;8849;70;2022
7;76,02;598;78,66;2009
7;94,59;866;91,55;2010
7;83,33;642;77,04;2011
7;160,87;2737,9;17,02;2012
7;190,11;1786,9;93,99;2013
7;271,15;2121,7;78,25;2014
7;276,1;2164,8;78,41;2015
7;277,64;2153;77,55;2016
7;228,84;1801,6;78,73;2017
7;292,69;1652,3;56,45;2018
7;470,17;2938,9;62,51;2019
7;477,64;2434,8;50,98;2020
7;485;2782;57,31;2021
7;517;2827;57;2022
8;670;13131;195,99;2009
8;716;12202;170,42;2010
8;1344;23368;173,87;2011
8;86910;8739,7;1,01;2012
8;1684;30776,7;182,76;2013
8;1745,04;33063,2;189,47;2014
8;1361,96;26785,7;196,67;2015
8;1262,01;21599,3;171,15;2016
8;944;17861,4;189,21;2017
8;1502;30742,1;204,67;2018
8;1252;24015,8;191,8;2019
8;1085;22230,4;201,16;2020
8;685;14549,65;212,39;2021
8;349;7001;201;2022
9;467,98;4460;95,3;2009
9;344,83;3697;107,21;2010
9;293,53;1758;59,89;2011
9;44848;7566,7;0,17;2012
9;578,69;6244,5;107,91;2013
9;545,16;5631,7;103,3;2014
9;567,54;5662,3;99,77;2015
9;741,99;6047,2;81,5;2016
9;219,92;3777,1;171,75;2017
9;402,62;3149,2;78,22;2018
9;306,1;2385;77,92;2019
9;293,05;2303,6;78,61;2020
9;897;10931;121,83;2021
9;973;11502;104;2022
10;42,82;742;173,28;2009
10;46,49;671;144,32;2010
10;32,08;586;182,65;2011
10;49,14;895,4;444,39;2012
10;45,28;842,6;186,1;2013
10;46,45;988,7;212,84;2014
10;51,47;1066,1;205,98;2015
10;47,06;1040,6;221,12;2016
10;45,93;611,8;133,19;2017
10;57,05;744,4;130,47;2018
10;66,89;824,9;123,32;2019
10;62,02;661,2;106,6;2020
10;71;661;93,43;2021
10;73;946;93;2022